x,y 
4075262184385053e+01,5.561849408663154293e+01
-7.354075262184385053e+01,5.605967055721977488e+01
-7.354075262184385053e+01,5.650084702780800683e+01
-7.354075262184385053e+01,5.694202349839623878e+01
-7.354075262184385053e+01,5.738319996898447073e+01
-7.354075262184385053e+01,5.782437643957270268e+01
-7.310065482233282808e+01,5.561849408663154293e+01
-7.310065482233282808e+01,5.605967055721977488e+01
-7.310065482233282808e+01,5.650084702780800683e+01
-7.310065482233282808e+01,5.694202349839623878e+01
-7.310065482233282808e+01,5.738319996898447073e+01
-7.310065482233282808e+01,5.782437643957270268e+01
-7.266055702282180562e+01,5.561849408663154293e+01
-7.266055702282180562e+01,5.605967055721977488e+01
-7.266055702282180562e+01,5.650084702780800683e+01
-7.266055702282180562e+01,5.694202349839623878e+01
-7.266055702282180562e+01,5.738319996898447073e+01
-7.266055702282180562e+01,5.782437643957270268e+01
-7.222045922331078316e+01,5.561849408663154293e+01
-7.222045922331078316e+01,5.605967055721977488e+01
-7.222045922331078316e+01,5.650084702780800683e+01
-7.222045922331078316e+01,5.694202349839623878e+01
-7.222045922331078316e+01,5.738319996898447073e+01
-7.222045922331078316e+01,5.782437643957270268e+01
-7.178036142379976070e+01,5.561849408663154293e+01
-7.178036142379976070e+01,5.605967055721977488e+01
-7.178036142379976070e+01,5.650084702780800683e+01
-7.178036142379976070e+01,5.694202349839623878e+01
-7.178036142379976070e+01,5.738319996898447073e+01
-7.178036142379976070e+01,5.782437643957270268e+01
-7.134026362428873824e+01,5.561849408663154293e+01
-7.134026362428873824e+01,5.605967055721977488e+01
-7.134026362428873824e+01,5.650084702780800683e+01
-7.134026362428873824e+01,5.694202349839623878e+01
-7.134026362428873824e+01,5.738319996898447073e+01
-7.134026362428873824e+01,5.782437643957270268e+01
-7.090016582477771578e+01,5.561849408663154293e+01
-7.090016582477771578e+01,5.605967055721977488e+01
-7.090016582477771578e+01,5.650084702780800683e+01
-7.090016582477771578e+01,5.694202349839623878e+01
-7.090016582477771578e+01,5.738319996898447073e+01
-7.090016582477771578e+01,5.782437643957270268e+01
-7.046006802526669333e+01,5.561849408663154293e+01
-7.046006802526669333e+01,5.605967055721977488e+01
-7.046006802526669333e+01,5.650084702780800683e+01
-7.046006802526669333e+01,5.694202349839623878e+01
-7.046006802526669333e+01,5.738319996898447073e+01
-7.046006802526669333e+01,5.782437643957270268e+01
-7.001997022575567087e+01,5.561849408663154293e+01
-7.001997022575567087e+01,5.605967055721977488e+01
-7.001997022575567087e+01,5.650084702780800683e+01
-7.001997022575567087e+01,5.694202349839623878e+01
-7.001997022575567087e+01,5.738319996898447073e+01
-7.001997022575567087e+01,5.782437643957270268e+01
-6.957987242624464841e+01,5.561849408663154293e+01
-6.957987242624464841e+01,5.605967055721977488e+01
-6.957987242624464841e+01,5.650084702780800683e+01
-6.957987242624464841e+01,5.694202349839623878e+01
-6.957987242624464841e+01,5.738319996898447073e+01
-6.957987242624464841e+01,5.782437643957270268e+01
